id;type;message;confidence;generated_at;product_id
1;for;entice;31528.19;2025-11-25T10:55:20;1
2;favorable;funny abacus;20691.65;2025-11-25T13:17:12;2
3;while;violently annually;26936.09;2025-11-25T16:00:26;3
4;outlandish recklessly where;conservation;17344.43;2025-11-25T07:37:38;4
5;actually;boohoo blink;4076.01;2025-11-25T04:01:27;5
6;papa through;below;30998.67;2025-11-25T02:44:41;6
7;optimistically free;fleck millet unaware;12010.38;2025-11-25T13:05:53;7
8;roger;hence down;21547.15;2025-11-25T10:13:46;8
9;terrible narrowcast aboard;banish tousle given;1485.88;2025-11-25T10:25:00;9
10;woot league;little mockingly subtract;28295.74;2025-11-25T16:00:35;10
