id;name;contact_info;reliability_score;email;phone
1;Office Consumables Sofia Ltd.;Sofia 1303, Ohrid St 12, Attn: D. Nikolova;4.6;sales@office-consumables.bg;+35929881234
2;Package BG Ltd.;Plovdiv 4000, Bulgaria Blvd 88, Attn: I. Petrov;4.3;orders@packagebg.bg;+35932601245
3;TechnoSafety Ltd.;Varna 9000, Devnya St 15, Attn: G. Dimitrov;4.1;contact@technosafety.bg;+35952650110
4;MRO Supply Bulgaria Ltd.;Sofia 1618, Tsar Boris III Blvd 215, Attn: N. Stoyanov;4.4;support@mro-supply.bg;+35928770021
5;NetCable Trade Ltd.;Ruse 7000, Borisova St 44, Attn: P. Todorov;3.9;sales@netcable.bg;+35982820155
6;Stationery Plus Ltd.;Burgas 8000, Aleksandrovska St 63, Attn: M. Ivanova;4.2;info@stationeryplus.bg;+35956890077
7;Warehouse Solutions Bulgaria Ltd.;Stara Zagora 6000, Industrial Zone, Attn: V. Kolev;4.0;logistics@warehouse-solutions.bg;+35942600188
8;CleanPro Chemicals Ltd.;Sofia 1528, Nedelcho Bonchev St 10, Attn: E. Peneva;3.8;orders@cleanpro.bg;+35929731220
9;Fasteners & Tools Ltd.;Pleven 5800, Doyran St 7, Attn: A. Iliev;4.5;sales@fasteners-tools.bg;+35964900123
10;Label Print BG Ltd.;Sofia 1404, Zlatovrah St 29, Attn: H. Nikolova;4.1;service@labelprint.bg;+35929661145
