id;name;section;capacity;description
1;gladly nor gadzooks;though;358;lazily known kindly
2;mid woot;political;18266;once
3;fuel gah;hence after labourer;21353;for
4;gee provided;censor beneath hence;32423;bell
5;dirty;outside supposing weakly;21117;flashy hoarse consequently
6;masculinize incidentally;well-to-do;16755;jaggedly
7;boohoo despite mysteriously;mob;27439;till chairperson
8;hm;horse;15132;free geez incidentally
9;since needily;loudly lobster vibrant;19214;crystallize courteous lobster
10;obstruct;yum exhausted notwithstanding;11796;pulverize thongs after
